Code,Location,Area,Price,Image,Link
P00314,827/132 ชั้น 5 อาคาร เอ5 อาคารชุดไอคอนโด สุขุมวิท 105-1 ถนนสาซาล ซอยสุขุมวิท 105 แขวงบางนา เขตบางนา กรุงเทพมหานคร,0000-0-00.0 / 31.07 ตร.ม.,"1,744,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3820_20220604125424.jpg,https://www.ttbbank.com/property/property/detail/P00314
P00348,ห้องชุดเลขที่ 190/36 ชั้น 3 อาคารB โครงการเมโทร พาร์ค สาทร3-1 ถนนกัลปพฤกษ์ แขวงบางหว้า เขตภาษีเจริญ กรุงเทพมหานคร,0000-0-00.0 / 44.05 ตร.ม.,"1,745,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3049_20210617172339.jpg,https://www.ttbbank.com/property/property/detail/P00348
P00216,กรรมสิทธิ์ห้องชุดเลขที่ 2359/226 ชั้น 8 อาคารเลขที่ H อาคารชุด เอ สเปช สุขุมวิท จี-เอช แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร,0000-0-00.0 / 35.47 ตร.ม.,"1,756,000บาท",https://media.tmbbank.com/uploads/npa/product/img/2201_20200212153731.jpg,https://www.ttbbank.com/property/property/detail/P00216
P00303,253/171 โครงการพูนสินธานี 3 ซอยเคหะร่มเกล้า 64 ถนนเคหะร่มเกล้า แขวงคลองสองต้นนุ่น เขตลาดกระบัง กรุงเทพมหานคร,0000-0-17.0 / 17 ตร.ว.,"1,760,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3806_20220513144133.jpg,https://www.ttbbank.com/property/property/detail/P00303
B12629,116 ซอยประชาอุทิศ 77 ถนนประชาอุทิศ แขวงทุ่งครุ เขตราษฎร์บูรณะ กรุงเทพมหานคร,0000-0-15.0 / 15 ตร.ว.,"1,870,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3754_20220513154041.jpg,https://www.ttbbank.com/property/property/detail/B12629
C10342,115/181 หมู่บ้านชนันธร วินมิลล์ ซอยวิลล์มิลล์ 8 ถนนเลียบคลองภาษี แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร,0000-0-20.5 / 20.5 ตร.ว.,"1,870,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3289_20210621102358.jpg,https://www.ttbbank.com/property/property/detail/C10342
P00231,287/163 โครงการพฤกษา 78 ถนนเลียบคลองลำกอไผ่ (แยกจากถนนฉลองกรุง) แขวงลำปลาทิว เขตลาดกระบัง กรุงเทพมหานคร,0000-0-18.1 / 18.1 ตร.ว.,"1,870,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3629_20220315210508.jpg,https://www.ttbbank.com/property/property/detail/P00231
P00345,ห้องชุดเลขที่ 788/332 ชั้น 24 อาคารชุดแบงค์คอก ฮอไรซอน รามคำแหง ถนนรามคำแหง ซอย 60 แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร,0000-0-00.0 / 39.31 ตร.ม.,"1,935,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3266_20210621164618.jpg,https://www.ttbbank.com/property/property/detail/P00345
P00452,115/145 หมู่บ้านชนันธร วินมิลล์ ถนนเลียบคลองภาษีเจริญฝั่งใต้ แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร,0000-0-20.5 / 20.5 ตร.ว.,"2,090,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3302_20210621103519.jpg,https://www.ttbbank.com/property/property/detail/P00452
B12713,ห้องชุดเลขที่ 835/228 ชั้น 8 อาคาร เอ1 อาคารชุด ไอคอนโด สุขุมวิท 103-3 ซอยสุขุมวิท105 ถนนลาซาล แขวงบางนา เขตบางนา กรุงเทพมหานคร,0000-0-00.0 / 33.02 ตร.ม.,"2,107,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3563_20220110092536.jpg,https://www.ttbbank.com/property/property/detail/B12713
B12800,ห้องชุดเลขที่ 95/1131 ชั้น 6 อาคาร F โครงการเอลลิโอ เดล เรย์ ซอยสุขุมวิท 64 ถนนสุขุมวิท แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร,0000-0-00.0 / 24.22 ตร.ม.,"2,132,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3635_20220315200120.jpg,https://www.ttbbank.com/property/property/detail/B12800
P00461,ห้องชุดเลขที่ 69/1189 อาคารนบีชั้น 24 ซอยราษฎร์บูรณะ 33 ถ.ราษฎร์บูรณะ โครงการแชปเตอร์วัน โมเดิร์นดัชท์  แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพมหานคร,000-0-00.0 / 29.25 ตร.ม.,"2,188,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3423_20210706165221.jpg,https://www.ttbbank.com/property/property/detail/P00461
B12891,7/109 หมู่บ้านไลโอ เพชรเกษม 77 ถนนสวัสดิการ 3 แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร,0000-0-22.2 / 22.2 ตร.ว.,"2,189,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3979_20220817151002.jpg,https://www.ttbbank.com/property/property/detail/B12891
P00031,406/141 โครงการอาร์เค พาร์ค รามอินทรา-คู้บอน ถนนเลียบคลองสอง แขวงบางชัน เขตคลองสามวา กรุงเทพมหานคร,0000-0-19.9 / 19.9 ตร.ว.,"2,200,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3763_20220513113542.jpg,https://www.ttbbank.com/property/property/detail/P00031
B12753,87/68 หมู่บ้านเพ็ญศิริ 4 ซอยเลียบวารี 25/1 ถนนเลียบวารี แขวงโคกแฝด เขตหนองจอก กรุงเทพมหานคร,0000-0-21.1 / 21.1 ตร.ว.,"2,200,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3603_20220202090219.jpg,https://www.ttbbank.com/property/property/detail/B12753
B12487,519/249 โครงการทัศนีย์นิเวศน์ 2 ซอยประชาอุทิศ 121 ถนนประชาอุทิศ แขวงทุ่งครุ เขตราษฎร์บูรณะ กรุงเทพมหานคร,0000-0-17.9 / 17.9 ตร.ว.,"2,300,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3741_20220513114802.jpg,https://www.ttbbank.com/property/property/detail/B12487
B12763,ห้องชุดเลขที่ 107/280 ชั้น 13 (12A) โครงการเดอะสเตชั่น(สาทร-บางรัก) ซอยเจริญกรุง 65 ถนนเจริญกรุง แขวงยานนาวา เขตสาทร กรุงเทพมหานคร,0000-0-00.0 / 35.73 ตร.ม.,"2,359,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3744_20220513150801.jpg,https://www.ttbbank.com/property/property/detail/B12763
